"","Lote","Germinacion","Fin.Cosecha","Rendimiento","Stage_1","Stage_2","Temp_Max_Avg_VEG","Temp_Min_Avg_VEG","Temp_Avg_VEG","Diurnal_Range_Avg_VEG","Sol_Ener_Accu_VEG","Temp_Max_34_Freq_VEG","Rain_Accu_VEG","Rain_10_Freq_VEG","Temp_Min_15_Freq_VEG","Rhum_Avg_VEG","Rhum_sd_VEG","Temp_Max_Avg_REP","Temp_Min_Avg_REP","Temp_Avg_REP","Diurnal_Range_Avg_REP","Sol_Ener_Accu_REP","Temp_Max_34_Freq_REP","Rain_Accu_REP","Rain_10_Freq_REP","Temp_Min_15_Freq_REP","Rhum_Avg_REP","Rhum_sd_REP","Temp_Max_Avg_LLEN","Temp_Min_Avg_LLEN","Temp_Avg_LLEN","Diurnal_Range_Avg_LLEN","Sol_Ener_Accu_LLEN","Temp_Max_34_Freq_LLEN","Rain_Accu_LLEN","Rain_10_Freq_LLEN","Temp_Min_15_Freq_LLEN","Rhum_Avg_LLEN","Rhum_sd_LLEN"
"399",226,2015-07-15,2015-11-16,6201,2015-09-02,2015-10-15,34.7489795918367,24.6714285714286,29.7102040816327,10.0775510204082,23361.9192344,0.755102040816326,143.9,0.0816326530612245,0,79.3736734693878,6.16776556443443,33.8023255813954,23.6883720930233,28.7453488372093,10.1139534883721,20741.6015313,0.511627906976744,188.3,0.162790697674419,0,88.9758139534884,4.25947360516931,34.0151515151515,23.4121212121212,28.7136363636364,10.6030303030303,15559.7098568,0.545454545454545,144.9,0.121212121212121,0,89.26,3.63749312714127
"400",236,2015-07-15,2015-11-13,4284,2015-09-01,2015-10-13,34.7541666666667,24.6770833333333,29.715625,10.0770833333333,22862.1221052,0.75,142.4,0.0833333333333333,0,79.1308333333333,5.99163133873328,33.8619047619048,23.7380952380952,28.8,10.1238095238095,20128.492249,0.547619047619048,152.5,0.119047619047619,0,88.7807142857143,4.16757834160913,33.9,23.315625,28.6078125,10.584375,15469.4652635,0.5,182,0.1875,0,90.1784375,3.17582309308129
"401",238,2015-07-15,2015-11-10,6370,2015-08-31,2015-10-10,34.7659574468085,24.7063829787234,29.736170212766,10.0595744680851,22424.107177,0.74468085106383,119.9,0.0638297872340425,0,78.9242553191489,5.88108565276294,33.8175,23.725,28.77125,10.0925,19151.882871,0.55,154.7,0.125,0,88.85125,4.24589405733985,33.921875,23.325,28.6234375,10.596875,15662.191005,0.5,202.3,0.21875,0,90.426875,2.78740535786101
"402",252,2015-07-15,2015-11-10,5428,2015-08-31,2015-10-10,34.7659574468085,24.7063829787234,29.736170212766,10.0595744680851,22424.107177,0.74468085106383,119.9,0.0638297872340425,0,78.9242553191489,5.88108565276294,33.8175,23.725,28.77125,10.0925,19151.882871,0.55,154.7,0.125,0,88.85125,4.24589405733985,33.921875,23.325,28.6234375,10.596875,15662.191005,0.5,202.3,0.21875,0,90.426875,2.78740535786101
"403",273,2015-07-15,2015-11-11,7159,2015-08-31,2015-10-11,34.7659574468085,24.7063829787234,29.736170212766,10.0595744680851,22424.107177,0.74468085106383,119.9,0.0638297872340425,0,78.9242553191489,5.88108565276294,33.8585365853659,23.7341463414634,28.7963414634146,10.1243902439024,19621.0886126,0.560975609756098,154.7,0.121951219512195,0,88.8273170731707,4.19528427188805,33.88125,23.315625,28.5984375,10.565625,15547.4733017,0.5,202.3,0.21875,0,90.3778125,2.84704117419834
"404",277,2015-07-15,2015-11-14,8879,2015-09-01,2015-10-13,34.7541666666667,24.6770833333333,29.715625,10.0770833333333,22862.1221052,0.75,142.4,0.0833333333333333,0,79.1308333333333,5.99163133873328,33.8619047619048,23.7380952380952,28.8,10.1238095238095,20128.492249,0.547619047619048,152.5,0.119047619047619,0,88.7807142857143,4.16757834160913,33.8939393939394,23.3757575757576,28.6348484848485,10.5181818181818,15823.6225841,0.484848484848485,182,0.181818181818182,0,89.9675757575758,3.35230334089771
"405",283,2015-07-15,2015-11-12,4571,2015-09-01,2015-10-12,34.7541666666667,24.6770833333333,29.715625,10.0770833333333,22862.1221052,0.75,142.4,0.0833333333333333,0,79.1308333333333,5.99163133873328,33.8634146341463,23.7463414634146,28.8048780487805,10.1170731707317,19654.6977992,0.560975609756098,132.9,0.0975609756097561,0,88.76,4.21716196037098,33.865625,23.278125,28.571875,10.5875,15502.4130147,0.46875,201.6,0.21875,0,90.423125,2.78734517868909
"406",285,2015-07-15,2015-11-10,4687,2015-08-31,2015-10-10,34.7659574468085,24.7063829787234,29.736170212766,10.0595744680851,22424.107177,0.74468085106383,119.9,0.0638297872340425,0,78.9242553191489,5.88108565276294,33.8175,23.725,28.77125,10.0925,19151.882871,0.55,154.7,0.125,0,88.85125,4.24589405733985,33.921875,23.325,28.6234375,10.596875,15662.191005,0.5,202.3,0.21875,0,90.426875,2.78740535786101
"407",286,2015-07-15,2015-11-14,8961,2015-09-01,2015-10-13,34.7541666666667,24.6770833333333,29.715625,10.0770833333333,22862.1221052,0.75,142.4,0.0833333333333333,0,79.1308333333333,5.99163133873328,33.8619047619048,23.7380952380952,28.8,10.1238095238095,20128.492249,0.547619047619048,152.5,0.119047619047619,0,88.7807142857143,4.16757834160913,33.8939393939394,23.3757575757576,28.6348484848485,10.5181818181818,15823.6225841,0.484848484848485,182,0.181818181818182,0,89.9675757575758,3.35230334089771
"408",287,2015-07-15,2015-11-10,6885,2015-08-31,2015-10-10,34.7659574468085,24.7063829787234,29.736170212766,10.0595744680851,22424.107177,0.74468085106383,119.9,0.0638297872340425,0,78.9242553191489,5.88108565276294,33.8175,23.725,28.77125,10.0925,19151.882871,0.55,154.7,0.125,0,88.85125,4.24589405733985,33.921875,23.325,28.6234375,10.596875,15662.191005,0.5,202.3,0.21875,0,90.426875,2.78740535786101
